 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
1
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
v_final,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.05642546,-3.290527,-4.895247,-2.599759
0.05718277,-2.967738,-3.69972,-2.489258
0.05730942,-2.807034,-3.342036,-2.409629
0.05762557,-2.696844,-3.13969,-2.346205
0.05765477,-2.612054,-2.999605,-2.292977
0.05782084,-2.542699,-2.892598,-2.246832
0.05794403,-2.483769,-2.805987,-2.20593
0.05812324,-2.432379,-2.733174,-2.169082
0.0581787,-2.386708,-2.670302,-2.135475
0.05830553,-2.345531,-2.614929,-2.104524
0.05847539,-2.307984,-2.56541,-2.075792
0.05885081,-2.273435,-2.520588,-2.048948
0.05890979,-2.241403,-2.479619,-2.023729
0.05904046,-2.211518,-2.441866,-1.999926
0.05931465,-2.183487,-2.406839,-1.977369
0.059421,-2.157073,-2.374152,-1.955918
0.05947589,-2.132083,-2.343497,-1.935455
0.05981734,-2.108358,-2.31462,-1.915882
0.0598898,-2.085764,-2.287316,-1.897114
0.0598927,-2.064187,-2.261411,-1.879078
0.05990976,-2.04353,-2.236759,-1.861712
0.06005614,-2.02371,-2.213237,-1.844961
0.06016022,-2.004654,-2.190737,-1.828776
0.06035206,-1.9863,-2.169169,-1.813115
0.06047334,-1.968592,-2.148452,-1.79794
0.06054401,-1.95148,-2.128516,-1.783218
0.06055387,-1.934921,-2.109299,-1.768917
0.06061146,-1.918876,-2.090748,-1.755011
0.06070186,-1.903311,-2.072812,-1.741475
0.06074485,-1.888193,-2.055449,-1.728286
0.06075808,-1.873495,-2.038621,-1.715426
0.06075819,-1.859191,-2.022291,-1.702874
0.06077245,-1.845258,-2.006429,-1.690614
0.0607847,-1.831674,-1.991005,-1.678631
0.06079956,-1.81842,-1.975993,-1.666909
0.06081661,-1.805477,-1.96137,-1.655437
0.06081974,-1.792831,-1.947114,-1.644201
0.06083266,-1.780464,-1.933205,-1.633191
0.06083933,-1.768364,-1.919624,-1.622396
0.06085902,-1.756518,-1.906354,-1.611806
0.06089877,-1.744913,-1.893381,-1.601412
0.06090283,-1.733539,-1.880688,-1.591206
0.0609038,-1.722384,-1.868263,-1.58118
0.06094141,-1.71144,-1.856094,-1.571325
0.0609648,-1.700696,-1.844168,-1.561636
0.06096549,-1.690146,-1.832475,-1.552106
0.0609676,-1.679781,-1.821005,-1.542729
0.06097024,-1.669593,-1.809748,-1.533498
0.06099433,-1.659575,-1.798695,-1.524409
0.06101397,-1.649721,-1.787838,-1.515456
0.06103851,-1.640025,-1.77717,-1.506635
0.06103916,-1.63048,-1.766683,-1.49794
0.06104327,-1.621082,-1.756369,-1.489368
0.0610479,-1.611825,-1.746223,-1.480914
0.06107509,-1.602704,-1.736238,-1.472574
0.06108534,-1.593714,-1.726408,-1.464346
0.06109024,-1.584852,-1.716728,-1.456224
0.06111313,-1.576112,-1.707193,-1.448206
0.06113192,-1.567491,-1.697798,-1.440288
0.06114871,-1.558985,-1.688537,-1.432468
0.06114881,-1.55059,-1.679408,-1.424743
0.06115799,-1.542303,-1.670404,-1.417109
0.06115859,-1.534121,-1.661523,-1.409565
0.06117738,-1.52604,-1.65276,-1.402107
0.06118217,-1.518057,-1.644112,-1.394733
0.06118469,-1.51017,-1.635575,-1.387441
0.06120865,-1.502376,-1.627146,-1.380228
0.06121043,-1.494672,-1.618821,-1.373093
0.06121837,-1.487056,-1.610599,-1.366034
0.06122734,-1.479525,-1.602475,-1.359047
